stage,blastomeres,epidermis,eye,fin_epithelia,glial,immune,ionocyte,iridophores,liver,mesenchyme,neural,paraxial_mesoderm,periderm,slow_muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,0,0,0,0,0,2,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,1.64,0,1.64,0,0,0.82
 36-46,0,0.81,0,0,0,0,0,0,0,0,0.81,0.81,0.81,0
 48-58,0,0,1.15,0,0,0,0,0,0.57,0,1.15,0,0,0
 60-70,0,0,2.94,0,1.96,0,0,0,0,0.98,0.98,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,1.06,0,0,0
 96-106,0,0,0,1.09,1.09,0,0,1.09,0,1.09,0,0,0,0
108-118,0,0,0.77,0,0,0.77,0.77,0,0,1.53,0.77,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96
