stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0
  7-9,5.26,2.63,7.89,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,52.57,5.26,0,0,26.29,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,18.88,0,0,3.15,0,0,0,0
 14-21,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,18,2,1,1,1,0,8,1,6,0,0,0
 24-34,0,0,0.82,0.82,0,0,3.28,0,0,0.82,0,0,0,0,0,0,4.1,0,0,1.64,23.8,0,0,0,0,0.82,0,0.82,4.1,0,0,0.82
 36-46,0,0,0,0.81,0,0,3.22,0,0,2.42,0,0,0,0,0,0,3.22,0,0,0,18.53,0,0.81,0.81,0,0.81,0,0,6.45,0,0,0
 48-58,0,0,0,0,0,0,2.87,0,0,0,0,0,0,0,0,0,2.3,0,0,0.57,24.1,0,0,0.57,0,0.57,0,0,3.44,0,1.15,0
 60-70,0,0,0,0,0,0,1.96,0,0.98,0.98,0,0.98,0,0,0,0,7.85,0.98,0,0,24.54,0,0,0,0,1.96,0,0,1.96,0,0,0.98
 72-82,0,0,0,0,0.98,0,9.82,0,2.94,2.94,0,0.98,0,0,0,0,6.87,0,0,0.98,18.65,0,0,0,0,0.98,0,0,0,0,1.96,0
 84-94,0,0,0,1.06,0,0,4.25,0,0,7.43,0,0,0,0,0,0,4.25,0,0,0,8.5,0,1.06,1.06,0,3.19,0,0,1.06,0,0,0
 96-106,0,0,0,2.19,0,0,1.09,0,2.19,0,0,0,0,1.09,1.09,0,4.37,0,0,1.09,17.49,0,0,0,0,2.19,0,0,1.09,0,2.19,0
108-118,0,0,0,2.3,0,0.77,5.36,0,0,1.53,0.77,0,0.77,0,0,0.77,3.06,0,0.77,0,15.32,0,0,0,0,0.77,0,0,1.53,0.77,0,0
120,0,0,0,5.88,0,0,1.96,1.96,0,1.96,0,0,0,0,0,0,5.88,0,0,1.96,19.6,0,3.92,3.92,0,1.96,0,0,0,0,0,0
