stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,spinal_cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0.82,0,0,0.82,0,0,0.82,0.82,1.64
 36-46,0,0,0,0,1.61,0,0,0.81,0,0,2.42,0,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,0,0.57,0.57,0,2.3,0,0,0,0.57,0
 60-70,0,0,0,0,1.96,0.98,0,1.96,0,0,0.98,0,0,0,0,0.98
 72-82,0,0,0.98,0,0.98,0,0,0.98,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,3.28,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,0,0,1.96,0,0,0,0
