stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,0,0,0,10,0,2,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,23.8,0.82,0,0,0,4.93,0.82,8.21,0,0,0
 36-46,0,0,0,0.81,0,0,2.42,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,41.89,0,0.81,0.81,0,8.06,0,8.06,0.81,0,0
 48-58,0,0,0,0,0,0,8.03,0,0,0.57,0,0,0,0,0,0,0,0,0,0.57,0,67.71,0.57,0,0,0,1.72,0,9.75,0,0,0
 60-70,0,0,0,0,0,0,48.09,0.98,0,2.94,0,0,0,0,0,0,0,2.94,0,0,0,150.17,0.98,0.98,0.98,0,0,0,10.8,0,0,0.98
 72-82,0,0.98,0,0.98,0,0,93.26,0,0.98,4.91,0,0.98,0,0.98,0,0,0,3.93,0,0.98,0.98,225.78,0,0,0.98,0,0.98,0,11.78,0,0,0
 84-94,0,0,0,1.06,0,0,62.66,0,1.06,6.37,0,0,1.06,0,1.06,0,0,5.31,0,2.12,0,125.32,0,0,3.19,0,0,0,8.5,0,1.06,0
 96-106,0,0,0,4.37,1.09,0,49.18,0,0,6.56,0,0,0,0,0,1.09,0,7.65,0,0,0,151.91,0,0,2.19,0,1.09,0,3.28,0,3.28,0
108-118,0,0,0,0.77,0,0.77,57.45,0,0,6.89,0.77,0,0,0.77,1.53,0,2.3,7.66,0,3.06,0,178.47,0,0,0.77,0,2.3,0,4.6,0.77,0,0
120,0,0,0,7.84,0,0,80.35,0,0,15.68,0,0,0,0,1.96,0,0,5.88,1.96,1.96,1.96,233.21,0,0,1.96,1.96,1.96,0,3.92,0,1.96,1.96
