stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,26.36,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0
  5-6,73.56,557.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,6.13,12.26,0,0,0,0
  7-9,13.14,7.89,15.77,0,0,28.92,0,0,0,10.51,0,0,0,0,0,0,254.99,5.26,102.52,0,0,0,0,0
 10-12,0,3.15,9.44,0,3.15,22.03,0,0,0,3.15,0,0,0,0,0,0,147.91,0,40.91,0,3.15,15.73,0,0
 14-21,0,0,1,3,0,0,0,1,0,0,0,0,0,2,0,1,10,0,1,0,0,0,2,2
 24-34,0,0,0,1.64,0,0.82,0,0,0,0,0,0,0,0,0,0,4.93,0,0,1.64,0,0,0,0
 36-46,0,0,0,0.81,0,3.22,0,0,0,0,0,0,0,0,0,0,5.64,0,0,3.22,0,0,0,0
 48-58,0,0,0,1.15,0,1.15,0,0,0,0,0,0,0,0.57,0,0,2.3,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.96,0,0.98,0,0,0,0,0,0.98,0,0,1.96,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,2.94,0,0,0,0,0,0,0.98,0,0.98,0,1.96,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,1.06,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0
