stage,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,immune,mesenchyme,mucous,neural,periderm,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,2.3,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0
 84-94,0,0,0,0,1.06,1.06,0,0,1.06,0,1.06,0,0
 96-106,0,0,0,1.09,0,1.09,0,0,0,0,1.09,0,2.19
108-118,0,0,0,0,0,0.77,0,0.77,0.77,0.77,0,0.77,3.06
120,0,0,1.96,0,0,0,1.96,0,0,0,1.96,0,3.92
