stage,axial,blastomeres,endoderm,exocrine_pancreas,eye,hatching_gland,immune,melanocytes,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,79.07,777.5,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,110.33,1078.82,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,5.26,2.63,5.26,0,0,2.63,0,0,0,28.92,2.63,13.14,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42
 48-58,0,0,0,0,0,0,0.57,1.72,0,0,0,0,0,0,0,0,0,2.3
 60-70,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,6.87
 72-82,0,0,0,0,0,0,0,0,2.94,4.91,0,0,0,0,0,0,0.98,1.96
 84-94,0,0,0,0,0,0,1.06,0,0,5.31,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,1.09,0,1.09,0,0,2.19,0,0,0,0,1.09,1.09,0,1.09
108-118,0,0,0,0,0.77,0,0.77,0,0,8.43,0,0,0,0,0.77,0,1.53,0
120,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,1.96,0
