stage,blastomeres,eye,glial,ionocyte,iridophores,melanocytes,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,5.26,0
 14-21,0,0,0,0,0,0,1,4,1,0,0,2
 24-34,0,0,0,0,0,0,0,2.46,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,2.42,0,0,0,0
 48-58,0,0,0.57,0,0.57,0,0,1.72,0,0,0,0
 60-70,0,0.98,1.96,0,0,0,0,0.98,0,0,0,0
 72-82,0,0.98,0.98,0,0,0,0,1.96,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,2.12,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0.77,0.77,0.77,0,0,0,0
120,0,0,1.96,0,0,0,0,1.96,0,0,0,3.92
