stage,blastomeres,epidermis,eye,glial,hatching_gland,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,3.15,0,0
 24-34,0,0,0.82,0,0,0,1.64,0.82,0,0.82,0.82
 36-46,0,0,0,0,0,0,1.61,0,0,0,2.42
 48-58,0,0,1.15,0.57,0.57,1.15,5.74,0,0,0.57,0.57
 60-70,0,0,0.98,0,0,0,1.96,0,0,0.98,0.98
 72-82,0,0,1.96,0.98,0,0,2.94,0,0,0,0
 84-94,0,0,2.12,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0.77,0,0,0,0,3.06,0,0,0,0
120,0,0,0,1.96,0,0,1.96,0,0,1.96,1.96
