stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,4,2,2,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,33,1,0,1,0,2,8,161,1,6,11,0,1,0,0
 24-34,0,0,0,9.85,2.46,19.7,0.82,0.82,1.64,0.82,0,0,0,1.64,0,0.82,0,1.64,15.6,0,0,9.03,156.78,2.46,0,0.82,0,6.57,0,105.07,0,0.82,29.55,0,3.28,0,0.82
 36-46,0,0,0,0.81,0,4.83,0,0,0.81,0,0,0.81,0,0.81,0,0,1.61,0,7.25,0.81,0,3.22,64.45,1.61,0,0,0,1.61,0,76.54,0,0,17.72,0,0,0,0
 48-58,0,0,0,2.3,0.57,13.77,0,0.57,2.87,0,0,0,0.57,0,0,0,0.57,0,9.75,0,0.57,1.72,47.63,0.57,1.15,0,0,1.72,0,40.74,0,0,12.05,0,1.15,0,0.57
 60-70,0,0,0,0.98,0.98,13.74,0.98,0,1.96,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0.98,35.33,0.98,0,0.98,0,0,0,52.02,0,0,2.94,0.98,2.94,0.98,0
 72-82,0,1.96,0,0,0,12.76,0,0.98,2.94,0.98,0,0,0,0,1.96,0,0.98,0,5.89,0,0,0.98,40.25,0.98,0,0,0,1.96,0,73.62,0,0,2.94,0,1.96,0,0.98
 84-94,0,0,0,1.06,0,6.37,0,0,2.12,1.06,0,0,0,0,0,0,1.06,0,8.5,0,0,0,22.3,1.06,1.06,1.06,0,3.19,0,150.81,0,0,1.06,0,1.06,1.06,1.06
 96-106,0,0,0,1.09,1.09,5.46,1.09,0,0,1.09,0,0,1.09,0,0,0,0,0,4.37,0,0,1.09,9.84,0,0,0,0,0,0,118.03,0,0,0,2.19,0,0,1.09
108-118,0,0,0,0,1.53,5.36,0.77,0,0.77,0.77,0,0.77,0,0,2.3,0,0.77,0,6.13,0,0.77,2.3,16.09,0,0.77,0.77,0,0.77,0,93.45,0,0,0.77,0,0.77,0,0
120,0,0,0,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0,1.96,0,5.88,0,0,0,13.72,0,3.92,0,0,0,0,41.16,0,0,0,0,0,0,0
