stage,Epithelial,Germ,Immune,Neuron,Stromal
24hpf,1,0,0,0,0
72hpf,0.56,0,0,1.13,0.28
21Day,0.37,0,0.37,0.37,0
3Month,0,0.21,0.1,0,0
22Month,0.41,0,0,0,0
