stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
 14-21,0,1.19,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08,9.51,0,0,1.88,0,2.17,0,0
 24-34,0,0,0,1.23,0,0,0,0,0,1.75,0,0,0,0,0,0,0,7.18,0,0,0,0,0,3.51,1.28
 36-46,0,0,0,2.02,0,0,0,0,0,0,0,0,0.8,2.1,0,0,0,25.95,0,2.19,0,0,0,0,0
 48-58,0,0,0,7.49,0,0,0,0,0,0,0,0,0,1.08,0,0,0,12.35,0,0,0,0,0,2.63,0
 60-70,0,0,0,15.08,1.51,0,0,0,0,0,0,0,0,6.91,0,0.93,0,18.63,0,4.59,0,9.34,0,4.05,1.09
 72-82,0,4.51,0,4.32,0,0,1.2,0.72,1.92,0,1.15,0,0,9.62,0.95,0,0,12.87,0,0,0,0,0,0,0
 84-94,0,0,0,4.85,0,2.24,0,0,0,0,0,0,0,2.17,0,0,0,23.34,0,0.58,0,0,0,0,0.65
 96-106,0,1.54,0,13.3,0,0,0,0.76,0,0,0,0,0,2.62,0,0,0,10.58,0,0,0,0,0,0,1.32
108-118,1.77,0,0,17.95,0,0,0,0,1.76,0,0.7,0.46,3.71,2.46,0,0,0,17.81,0.58,0,0,0,0,0,0
120,0,0,0,13.58,0,0,0,0,0,0,0,0,0,0,0,0,0,12.81,0,0,0,0,0,0,0
