stage,Enterocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,2.14,0,0,0,0
21Day,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0.32,0.32,1.28,0,0.32,0,0,0,0.32,0.32,0.32,0.32
22Month,0,0,1.64,0.55,0,0,0,0,0,0,0,0
