stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,250.38,2965.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,1464.98,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,36.78,6.13,0,12.26,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,13.14,63.09,0,0,0,70.98,0,0,0,0,0,89.38,0,0,0,0,0,0,0,0,638.78,28.92,0,223.44,7.89,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,56.65,0,0,0,78.67,0,0,0,0,0,53.5,0,0,0,0,0,0,0,0,818.21,66.09,0,295.82,0,22.03,6.29,47.2,0,9.44,0,0,0,0,0
 14-21,0,0,1,10,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,13,1,0,1,0,0,2,0,0,4,6,0,0,0,0
 24-34,0,0,0,9.03,0,0,4.1,0,0.82,0.82,0.82,0,0,0,0,0,0,0,4.1,0,1.64,30.37,0.82,0.82,0,1.64,0,0,0,0.82,0,6.57,0,0,0,0
 36-46,0,0,0,5.64,0,0,4.83,0,0,0,0.81,0,0,0.81,0,0,0,0,6.45,0,0.81,23.36,0,0,0,0.81,0,0,0,0,0,11.28,0,0,0,0.81
 48-58,0,0,0,3.44,0,0,5.16,0,2.3,0.57,1.72,0,0.57,0,0.57,0,0,0,3.44,0,1.15,8.61,0,0,0,0.57,0,0,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,1.96,0.98,0,1.96,0,1.96,0,1.96,0,0,0,0,0,0,0,0.98,0,0.98,0.98,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0.98,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0.98,0.98,0.98,0,2.94,0,0,0,0.98,0,0,0,0,0,0,0.98,0.98,0,0
 84-94,0,0,0,9.56,0,0,2.12,0,5.31,0,0,0,0,0,0,0,0,0,1.06,0,0,3.19,0,1.06,0,5.31,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,5.46,1.09,0,2.19,0,3.28,0,5.46,1.09,0,0,0,0,1.09,1.09,0,0,1.09,5.46,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,7.66,1.53,0.77,2.3,0.77,3.83,0,1.53,0,0,0,0,0.77,0,0,3.83,0,1.53,4.6,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0
120,0,0,0,5.88,1.96,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,1.96,3.92,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
