stage,blastomeres,eye,glial,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,periderm,spinal.cord
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,13.14,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,0
 14-21,0,0,0,0,0,1,1,0,0,0,0,1
 24-34,0,0,0,0,0.82,0.82,0,0.82,0,0,0,0.82
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0.57,0.57,0,0,0,0,0,0,0.57,0,0
 60-70,0,2.94,0,0,0,0.98,0,1.96,0,0,0,0
 72-82,0,0.98,0,0,0,0,0,3.93,0,0,0,0
 84-94,0,2.12,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,1.09,0,0,1.09,0,0,0,0,0,1.09,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0.77,1.53
120,0,0,1.96,0,0,0,0,0,0,0,0,1.96
