stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,1,0,0,0,0,0,0,0,4,0,0,0,2,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,1.64,0,0
 36-46,0,0,0,1.61,0,0.81,0,0,0,0,0.81,0.81,0,8.06,0.81,0,0,0.81,0.81,0,0
 48-58,0,0,0,5.16,0,0,0,0,0,0,0,1.15,0.57,4.59,0,0,0,0.57,1.72,0,0
 60-70,0,0,0,2.94,0,0,0,0,0,0,0,1.96,0,4.91,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,2.19,0,1.09,1.09,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0.77,0,1.53,0,0,0,0,0,0.77,0,0,0,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0
