stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,5.26,0,10.51,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,6.29,0,3.15,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0.98,0,0,0.98,0,0
 72-82,0,0.98,0,0,0.98,0,0,0,0,0,0.98,0,0,0.98,0,0,0.98,0,0
 84-94,0,0,0,1.06,0,1.06,0,2.12,0,0,0,1.06,0,0,1.06,0,2.12,0,0
 96-106,0,0,1.09,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0,1.09,0,0
108-118,0,0,0.77,0,0,0,0,0,0,0,1.53,0,0,0,0,0,2.3,0,0
120,0,1.96,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,1.96,0,0
