stage,blastomeres,epidermis,erythrocytes,eye,glial,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,1,2,0,1,0,1,1,8,0,0,0,1,2,0,0
 24-34,0,0,0,1.64,0,0.82,0.82,0,13.13,0,0,0.82,0,0,0.82,0
 36-46,0,0,0,1.61,0.81,0,0.81,0,4.83,0.81,0,0,0,0,0.81,0
 48-58,0,0,0,1.72,0,0,0,0,1.72,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0.77
120,0,0,0,1.96,0,0,1.96,0,1.96,0,0,0,0,0,1.96,0
