stage,axial,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,13.14,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,9.44,3.15,0,0
 14-21,0,0,0,1,0,0,0,2,0,0,1
 24-34,0,0,0,0,0,0,0,3.28,0,0,0.82
 36-46,0,0,0,0,0.81,0,0.81,3.22,0,0,0.81
 48-58,0,0,0,0,3.44,0,0,4.59,0,0,0.57
 60-70,0,0,0,0,0.98,0.98,0,2.94,0,0,0
 72-82,0,0,0,0,1.96,0,0,0,0,0,0.98
 84-94,0,0,0,0,1.06,0,0,2.12,0,0,1.06
 96-106,0,0,0,0,0,1.09,0,0,0,1.09,0
108-118,0,0,0,0.77,0,0,0.77,1.53,0,0,0
120,0,0,0,1.96,0,0,0,1.96,0,0,0
