stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,immune,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,3.15,3.15,0,0,0
 14-21,0,0,1,1,0,0,1,0,1,0,2,1,0,1,3
 24-34,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0.82
 36-46,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0.57,0,0,0,1.15
 60-70,0,0,0,0,0.98,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0.98,0,1.96,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,1.06,1.06,0,1.06,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,2.19,0,0,0,0
108-118,0,0,0,0,1.53,0.77,0.77,0,0.77,0,2.3,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0
