stage,epidermis,eye,glial,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pronephros,spinal_cord
  7-9,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,3,2,3,0,0,1,2
 24-34,0.82,0,0,0,0,0,1.64,0.82,0,0,0
 36-46,0,0,0,0.81,0,0,1.61,0,0,0,0
 48-58,0,0,0.57,0,0.57,0,2.87,0,0,0,1.72
 60-70,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0.98,0,0.98,0,0.98,0,1.96,0,0,0,0.98
 84-94,0,0,0,0,1.06,0,1.06,0,0,0,0
 96-106,1.09,2.19,0,0,0,0,0,0,0,0,0
108-118,0.77,0,0.77,0,0.77,0,0,0,0,0,0
120,0,0,1.96,0,1.96,0,1.96,0,0,0,0
