stage,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,pericytes,periderm,slow.muscle,somites,spinal.cord
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,6.57,0,0,0.82,0,0,0.82
 36-46,0,0.81,0,0,0,0,0,0,0,0.81,0,0,8.06,0.81,0,0,0,0,0.81
 48-58,0,3.44,0,0,0,0.57,0,0,0,1.72,0,0,2.87,0,0,0,0.57,0,0.57
 60-70,0,2.94,0,0.98,0,0,0,0,0,1.96,0,0,0.98,0,0.98,0.98,0,0,0
 72-82,0.98,3.93,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,1.06,0,0,0,0,1.06,0,0,1.06,0,0,0,0,0,1.06,0,0,0
 96-106,0,2.19,0,0,0,0,1.09,0,1.09,0,1.09,0,1.09,0,0,1.09,0,0,0
108-118,0.77,0,0,0,0.77,0,0.77,0,0,1.53,0,0.77,1.53,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
