stage,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,melanocytes,mesenchyme,muscle,neural,paraxial.mesoderm,somites,spinal.cord
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,2.63,0,0,0,18.4,7.89,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,0,4,0,1,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,0,0,1.61
 48-58,0,0,0,0,0,0,0,0,0.57,0,1.15,0,0,1.15
 60-70,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0.98
 72-82,0,0,0,0,0.98,0.98,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,1.06,1.06,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
