stage,blastomeres,epidermis,eye,glial,heart,lateral_line,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,184.49,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,2,0,1,0,0,0
 24-34,0,0.82,0.82,0,0,0,0,7.39,0,0.82,0,0,0
 36-46,0,0.81,0,1.61,0,0,0,9.67,0,4.83,0.81,0,0
 48-58,0,1.15,0,0.57,0,0,0.57,8.61,0,0,1.15,0,0
 60-70,0,0,0,0,0,0.98,0.98,2.94,0,0,0.98,0,0
 72-82,0,0,1.96,1.96,0,0,0,2.94,0,0,0,0.98,0.98
 84-94,0,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0.77,1.53,0.77,0,0,0,1.53,0,2.3,0,0,0
120,0,1.96,0,0,1.96,0,0,3.92,0,5.88,0,0,0
