stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,gut,hatching.gland,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,5.74,0,0.57,0,0,0.57,5.74,0.57,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,0.98,0.98,0,0.98,2.94,1.96,0.98,0.98,5.89,11.78,0.98,0,0,0.98,0,0,0,0.98,0.98,1.96,0.98,0
 84-94,0,1.06,0,0,0,0,1.06,0,0,0,0,0,11.68,0,0,0,0,0,1.06,1.06,0,0,0,0,0
 96-106,0,0,4.37,0,0,0,0,4.37,2.19,0,0,3.28,13.11,0,0,0,1.09,0,0,1.09,0,0,0,0,0
108-118,0,2.3,0,0.77,0,0.77,0.77,4.6,0,0,2.3,1.53,9.96,0.77,0,0,0,0,0,0,0,0,0,0,2.3
120,0,1.96,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
