stage,axial,blastomeres,erythrocytes,eye,glial,lateral_line,mesenchyme,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,2,0,0,1,1,0
 24-34,0,0,0,1.64,0,0,0,4.93,0,0,0,0,1.64
 36-46,0,0,0,0,0.81,0,0,4.03,0,0,0,0,0
 48-58,0,0,0,0.57,0.57,0.57,0,2.87,0,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,0,1.96,0,0,0.98,0,0
 72-82,0,0,0,1.96,1.96,0,0,5.89,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,1.06,0,0
 96-106,0,0,0,2.19,0,0,0,1.09,1.09,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0.77,0,0,0,0.77
