stage,blastomeres,epidermis,eye,glial,melanocytes,mesenchyme,mural.cell,neural,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,1.15,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0.98,0,0,1.96,0,0,0,0.98
 72-82,0,0,0.98,0.98,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96
