stage,blastomeres,endoderm,epidermis,eye,glial,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,15.77,2.63,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,9.44,3.15,0,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,0,0,0,4.93,0,0,0,0.82,0.82,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0.81
 48-58,0,0,0.57,0.57,0.57,0,0.57,0.57,4.59,0,0,0,0,1.72,0
 60-70,0,0,0,1.96,0.98,0,0,0,1.96,0,0.98,0,0,0.98,0
 72-82,0,0,0,0.98,0,0,0,0,3.93,0,0,0,0,0.98,0
 84-94,0,0,1.06,0,1.06,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,1.09,0,1.09,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,1.96,0,0,0,1.96,0,0
