stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,mesenchyme,neural,olfactory,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0.57,0,0.57,0,0,0
 60-70,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,1.06,0,1.06,0,1.06,0,0,0,0,0,0,0,0,4.25,0,0,1.06,0,1.06
 96-106,0,1.09,0,0,1.09,0,1.09,1.09,1.09,0,0,1.09,0,0,3.28,0,0,0,1.09,0
108-118,0,0,0,0,0,0,0,0.77,0,0.77,0.77,0,0.77,0,6.89,0,0.77,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,1.96,0
