stage,axial,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,muscle,neural,paraxial.mesoderm,somites,spinal.cord
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,23.66,2.63,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,12.59,6.29,0,0
 14-21,0,0,0,1,0,0,0,0,2,0,1,2
 24-34,0,0,0,0.82,0,0,0,0,2.46,0,0,0.82
 36-46,0,0,0,0,0.81,0,0,0,3.22,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0.57
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0
