stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,otic,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0
 24-34,1.64,0,0,0,0,0.82,0,0,0,0,0,0.82,5.75,0,0,0,0,4.1,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0.81,0.81,0.81,3.22,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0.57,2.87,0.57,0,0,0,1.15,0,0
 60-70,0,0,0,1.96,0,0,0,0,0,0,0,0,4.91,0,0,0.98,0.98,0,0,0
 72-82,0,0,0,7.85,0,1.96,0,0,0,0.98,0,0,7.85,0.98,0.98,0.98,0,0,0,0
 84-94,0,0,0,4.25,0,0,0,0,0,1.06,0,0,1.06,0,1.06,0,0,0,1.06,1.06
 96-106,0,0,0,0,0,0,0,1.09,1.09,0,0,0,1.09,0,1.09,0,0,0,0,0
108-118,0,0,0.77,0,0,0,0,0,0,0,0,0,1.53,0,0.77,0,0,0,0,0
120,0,1.96,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0
