stage,axial,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0.81,0,0,7.25,0,0,0,0,0,0,0
 48-58,0,0,0,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,21.8,0,0.57,0,0,0,0,0
 60-70,0,0,0,58.89,0,0,0.98,0.98,0,0,0.98,0,0,0,0,0,0,0,1.96,0,0,0,21.59,0,0.98,0,0,0,0,0
 72-82,0,2.94,1.96,319.04,0,0,1.96,0,0,0,0,0,0,0,3.93,0.98,0.98,0,8.83,0,0,0,15.71,0,0,0.98,0,0.98,0,0
 84-94,0,2.12,0,275.07,0,0,0,0,1.06,0,0,0,0,0,1.06,0,0,0,6.37,0,0,0,66.91,0,0,1.06,1.06,2.12,0,0
 96-106,0,8.74,1.09,589.04,1.09,0,2.19,0,0,0,0,0,1.09,0,8.74,0,0,1.09,16.39,1.09,1.09,0,53.55,1.09,1.09,0,0,1.09,1.09,2.19
108-118,1.53,3.06,1.53,446.56,0,3.06,3.83,0,0,1.53,0,0.77,0,1.53,3.06,0,0,0,18.38,0,0,0.77,90.38,0,0.77,0,0,0.77,0,0
120,0,5.88,0,562.46,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0,5.88,0,0,0,31.36,0,0,0,0,0,0,0
